route_id,agency_id,route_short_name,route_long_name,route_type,route_url
1,SCT,1,"Whites Cyn/Castaic",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=1
2,SCT,2,"Whites Cyn/Val Verde",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=2
3,SCT,3,"Magic Mountain/Seco Canyon",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=3
4,SCT,4,"Bouquet Cyn/Newhall Metrolink",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=4
5,SCT,5,"Stevenson Ranch/Vasquez Cyn",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=5
6,SCT,6,"Stevenson Ranch/Shadow Pines",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=6
7,SCT,7,"Magic Mountain/Seco Canyon",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=7
8,SCT,14,"Plum Cyn/Newhall Metro",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=14
9,SCT,501,"Magic Mountain",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=501
10,SCT,502,"Commerce Center",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=502
11,SCT,620,"Saugus High",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=620
12,SCT,621,"Saugus High",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=621
13,SCT,622,"Rio Norte Jr High",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=622
14,SCT,623,"Rio Norte Jr High",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=623
15,SCT,624,"Valencia High",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=624
16,SCT,625,"Valencia High",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=625
17,SCT,626,"La Mesa Jr High",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=626
18,SCT,627,"La Mesa Jr High",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=627
19,SCT,628,"Golden Valley High",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=628
20,SCT,629,"Golden Valley High",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=629
21,SCT,631,"Valencia High School",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=631
22,SCT,632,"Canyon High",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=632
23,SCT,633,"Saugus High",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=633
24,SCT,634,"West Ranch/Rancho Pico",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=634
25,SCT,635,"West Ranch/Rancho Pico",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=635
26,SCT,636,"West Ranch High",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=636
27,SCT,637,"Arroy Seco/Saugas",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=637
28,SCT,638,"Arroy Seco Jr High",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=638
29,SCT,639,"Rancho Pico Jr High",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=639
30,SCT,640,"Arroyo Seco/Saugus",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=640
31,SCT,757,"North Hollywood",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=757
32,SCT,791,"Warner Center",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=791
33,SCT,792,"Century City",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=792
34,SCT,794,"Union Station",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=794
35,SCT,795,"Lancaster",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=795
36,SCT,796,"Warner Center",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=796
37,SCT,797,"Century City",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=797
38,SCT,799,"Los Angeles",3,http://businfo.santa-clarita.com/RTT/Public/Schedule.aspx?RouteNo=799
