trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign
1,04:22:00,04:22:00,739,1,Stevenson Ranch
1,,,743,2,
1,,,745,3,
1,,,746,4,
1,,,766,5,
1,,,764,6,
1,,,762,7,
1,,,760,8,
1,,,759,9,
1,,,756,10,
1,,,754,11,
1,,,751,12,
1,,,750,13,
1,,,749,14,
1,,,722,15,
1,04:33:00,04:33:00,718,16,
1,,,716,17,
1,,,714,18,
1,,,712,19,
1,04:37:00,04:37:00,697,20,
1,,,678,21,
1,,,675,22,
1,,,657,23,
1,,,656,24,
1,,,499,25,
1,,,497,26,
1,,,486,27,
1,,,489,28,
1,04:47:00,04:47:00,494,29,
1,04:51:00,04:51:00,484,30,
1,,,477,31,
1,,,434,32,
1,,,432,33,
1,,,438,34,
1,,,439,35,
1,,,436,36,
1,,,429,37,
1,05:10:00,05:10:00,844,38,
1,,,427,39,
1,,,413,40,
1,,,418,41,
1,,,417,42,
1,,,384,43,
1,,,382,44,
1,,,381,45,
1,05:16:00,05:16:00,370,46,
1,,,369,47,
1,,,367,48,
1,,,355,49,
1,,,353,50,
1,,,366,51,
1,,,363,52,
1,,,361,53,
1,,,304,54,
1,,,301,55,
1,05:25:00,05:25:00,282,56,
1,,,283,57,
1,,,288,58,
1,,,290,59,
1,,,298,60,
1,,,300,61,
1,,,296,62,
1,05:30:00,05:30:00,294,63,
1,,,291,64,
1,,,257,65,
1,,,259,66,
1,05:34:00,05:34:00,254,67,
1,,,248,68,
1,,,247,69,
1,05:37:00,05:37:00,245,70,
1,,,264,71,
1,,,266,72,
1,,,337,73,
1,,,336,74,
1,,,334,75,
1,,,332,76,
1,05:49:00,05:49:00,330,77,
1,,,329,78,
1,,,325,79,
1,,,324,80,
1,,,323,81,
1,,,322,82,
1,,,321,83,
1,,,789,84,
1,,,320,85,
1,,,319,86,
1,,,318,87,
1,,,317,88,
1,,,316,89,
1,05:55:00,05:55:00,315,90,
2,05:55:00,05:55:00,315,1,Shadow Pines
2,,,314,2,
2,,,313,3,
2,,,312,4,
2,,,311,5,
2,,,778,6,
2,,,310,7,
2,,,308,8,
2,,,309,9,
2,,,326,10,
2,,,327,11,
2,06:00:00,06:00:00,328,12,
2,,,331,13,
2,,,333,14,
2,,,335,15,
2,,,267,16,
2,,,265,17,
2,,,244,18,
2,06:04:00,06:04:00,246,19,
2,,,249,20,
2,06:08:00,06:08:00,253,21,
