stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
15,12449,"Sierra Hwy & West Milling St",34.696282,-118.136423,http://businfo.santa-clarita.com/RTT/Public/RoutePositionET.aspx?PlatformTag=15
17,12412,"10th St West & West Ave K-8",34.666847,-118.148343,http://businfo.santa-clarita.com/RTT/Public/RoutePositionET.aspx?PlatformTag=17
18,12408,"Transportation Center Dr & Clock Tower Plaza Dr",34.591332,-118.121148,http://businfo.santa-clarita.com/RTT/Public/RoutePositionET.aspx?PlatformTag=18
21,12420,"10th St West & Marketplace Dr",34.598622,-118.147491,http://businfo.santa-clarita.com/RTT/Public/RoutePositionET.aspx?PlatformTag=21
24,12431,"Gayley Ave & Strathmore Pl",34.068807,-118.449076,http://businfo.santa-clarita.com/RTT/Public/RoutePositionET.aspx?PlatformTag=24
25,12598,"Gayley Ave & Strathmore Pl",34.068186,-118.448870,http://businfo.santa-clarita.com/RTT/Public/RoutePositionET.aspx?PlatformTag=25
26,13491,"Le Conte Ave & Gayley Ave",34.063729,-118.447749,http://businfo.santa-clarita.com/RTT/Public/RoutePositionET.aspx?PlatformTag=26
27,12580,"Le Conte Ave & Gayley Ave",34.063577,-118.447828,http://businfo.santa-clarita.com/RTT/Public/RoutePositionET.aspx?PlatformTag=27
29,13458,"Westwood Blvd & Weyburn Ave",34.062407,-118.445238,http://businfo.santa-clarita.com/RTT/Public/RoutePositionET.aspx?PlatformTag=29
31,12567,"Glendon Ave & Wilshire Blvd",34.059114,-118.442129,http://businfo.santa-clarita.com/RTT/Public/RoutePositionET.aspx?PlatformTag=31
32,12579,"Westwood Blvd & Weyburn Ave",34.062661,-118.445499,http://businfo.santa-clarita.com/RTT/Public/RoutePositionET.aspx?PlatformTag=32
34,13489,"Wilshire Blvd & Sth Beverly Gln Blvd",34.066842,-118.429304,http://businfo.santa-clarita.com/RTT/Public/RoutePositionET.aspx?PlatformTag=34
35,12551,"Wilshire Blvd & Sth Beverly Gln Blvd",34.066690,-118.429001,http://businfo.santa-clarita.com/RTT/Public/RoutePositionET.aspx?PlatformTag=35
