route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,1,187,Whites Cyn,0,132,9
1,1,188,Castaic,1,121,19
1,1,533,Whites Cyn,0,121,9
1,1,536,Whites Cyn,0,132,12
1,1,538,Whites Cyn,0,117,9
1,1,594,Whites Cyn,0,121,9
1,1,596,Whites Cyn,0,117,9
1,1,598,Whites Cyn,0,132,9
1,1,600,Whites Cyn,0,121,9
1,1,602,Whites Cyn,0,117,9
1,1,604,Whites Cyn,0,132,9
1,1,606,Whites Cyn,0,121,9
1,1,608,Whites Cyn,0,117,9
1,1,610,Whites Cyn,0,132,9
1,1,612,Whites Cyn,0,121,9
1,1,614,Whites Cyn,0,117,9
1,1,615,Whites Cyn,0,132,9
1,1,616,Castaic,1,117,19
1,1,619,Castaic,1,132,19
1,1,621,Castaic,1,121,19
1,1,623,Castaic,1,117,19
1,1,625,Castaic,1,132,19
1,1,627,Castaic,1,121,19
1,1,629,Castaic,1,117,19
1,1,631,Castaic,1,132,19
1,1,633,Castaic,1,121,19
1,1,635,Castaic,1,117,19
1,1,637,Castaic,1,132,19
1,1,640,Castaic,1,117,19
1,1,642,Castaic,1,132,19
1,1,643,Castaic,1,121,19
1,2,189,Castaic,1,143,19
1,2,645,Whites Cyn,0,139,9
1,2,646,Whites Cyn,0,143,12
1,2,649,Whites Cyn,0,137,9
1,2,651,Whites Cyn,0,143,9
1,2,653,Whites Cyn,0,139,9
1,2,655,Whites Cyn,0,137,9
1,2,657,Whites Cyn,0,143,9
1,2,659,Whites Cyn,0,139,9
1,2,661,Whites Cyn,0,137,9
1,2,663,Whites Cyn,0,143,9
1,2,665,Whites Cyn,0,139,9
1,2,667,Whites Cyn,0,137,9
1,2,669,Whites Cyn,0,143,9
1,2,671,Whites Cyn,0,139,9
1,2,672,Castaic,1,137,69
1,2,674,Castaic,1,143,19
1,2,676,Castaic,1,139,19
1,2,678,Castaic,1,137,19
1,2,680,Castaic,1,143,19
1,2,682,Castaic,1,139,19
1,2,684,Castaic,1,137,19
1,2,701,Castaic,1,139,19
1,2,703,Castaic,1,137,19
1,2,705,Castaic,1,143,19
1,2,707,Castaic,1,139,19
1,2,709,Castaic,1,137,19
1,3,27,Castaic,1,5,19
1,3,28,Whites Cyn,0,5,9
1,3,51,Castaic,1,11,19
1,3,52,Whites Cyn,0,11,9
1,3,53,Castaic,1,11,19
1,3,64,Castaic,1,13,19
