stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
1,12973,"Hickory Street at Bitternut Lane",37.999336,-78.525860,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=1
2,12939,"Hickory Street at Quest Court",37.999090,-78.524026,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=2
3,15825,"Southwood Community Center",37.999086,-78.521059,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=3
4,15841,"County Office Building South",38.005408,-78.519352,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=4
5,12800,"PVCC at Dickinson Building",38.005175,-78.488145,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=5
6,12844,"College Road leaving PVCC",38.005716,-78.480870,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=6
7,12828,"College Road to PVCC",38.006008,-78.480990,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=7
8,15771,"Opposite Willoughby Square Shopping Center",38.011959,-78.502650,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=8
9,12925,"Willoughby Square Shopping Center",38.013533,-78.501299,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=9
10,15785,"5th Street SW at Harris Road",38.014503,-78.499801,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=10
11,11384,"Harris Road at JPA",38.015165,-78.510326,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=11
12,11397,"Harris Road at Willard Drive",38.015800,-78.507857,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=12
13,11674,"Willard Drive at Allen Drive",38.016550,-78.508113,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=13
14,11402,"Willard Drive at Moseley Drive",38.018069,-78.509745,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=14
15,11418,"Willard Drive at Cleveland Avenue",38.019516,-78.510555,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=15
16,11425,"Cleveland Ave Opp Woodland Dr",38.020306,-78.512606,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=16
17,11439,"Cleveland Avenue at JPA",38.020699,-78.514506,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=17
