route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,1,1,East Market & Downtown Station via Chesapeake,0,26,3
1,1,2,East Market & Downtown Station via Chesapeake,0,26,3
1,1,3,East Market & Downtown Station via Chesapeake,0,26,3
1,1,4,East Market & Downtown Station via Chesapeake,0,26,3
1,1,5,East Market & Downtown Station via Chesapeake,0,26,3
1,1,6,East Market & Downtown Station via Chesapeake,0,26,3
1,1,7,East Market & Downtown Station via Chesapeake,0,26,3
1,1,8,East Market & Downtown Station via Chesapeake,0,26,3
1,1,9,East Market & Downtown Station via Chesapeake,0,26,3
1,1,10,East Market & Downtown Station via Chesapeake,0,26,3
1,1,11,East Market & Downtown Station via Chesapeake,0,26,3
1,1,12,East Market & Downtown Station via Chesapeake,0,26,3
2,1,26,Piedmont Virginia Community College & Downtown Station via Monticello Ave,0,26,110
2,1,27,Piedmont Virginia Community College & Downtown Station via Monticello Ave,0,26,110
2,1,28,Piedmont Virginia Community College & Downtown Station via Monticello Ave,0,26,110
2,1,29,Piedmont Virginia Community College & Downtown Station via Monticello Ave,0,26,110
2,1,30,Piedmont Virginia Community College & Downtown Station via Monticello Ave,0,26,110
2,1,31,Piedmont Virginia Community College & Downtown Station via Monticello Ave,0,26,110
2,1,32,Piedmont Virginia Community College & Downtown Station via Monticello Ave,0,26,110
2,1,33,Piedmont Virginia Community College & Downtown Station via Monticello Ave,0,26,110
2,1,34,Piedmont Virginia Community College & Downtown Station via Monticello Ave,0,26,110
2,1,35,Piedmont Virginia Community College & Downtown Station via Monticello Ave,0,26,110
2,1,36,Piedmont Virginia Community College & Downtown Station via Monticello Ave,0,26,110
2,1,37,Piedmont Virginia Community College & Downtown Station via Monticello Ave,0,26,110
3,1,13,Locust Avenue & Downtown Station via Park Street,0,27,9
3,1,14,Locust Avenue & Downtown Station via Park Street,0,27,9
3,1,15,Locust Avenue & Downtown Station via Park Street,0,27,9
3,1,16,Locust Avenue & Downtown Station via Park Street,0,27,9
3,1,17,Locust Avenue & Downtown Station via Park Street,0,27,9
3,1,18,Locust Avenue & Downtown Station via Park Street,0,27,9
3,1,19,Locust Avenue & Downtown Station via Park Street,0,27,9
3,1,20,Locust Avenue & Downtown Station via Park Street,0,27,9
3,1,21,Locust Avenue & Downtown Station via Park Street,0,27,9
3,1,22,Locust Avenue & Downtown Station via Park Street,0,27,9
3,1,23,Locust Avenue & Downtown Station via Park Street,0,27,9
3,1,24,Locust Avenue & Downtown Station via Park Street,0,27,9
3,1,25,Locust Avenue & Downtown Station via Park Street,0,27,9
4,1,484,Downtown Station via County Office Building South,0,27,52
4,1,485,Downtown Station via County Office Building South,0,27,52
4,1,486,Downtown Station via County Office Building South,0,27,52
4,1,487,Downtown Station via County Office Building South,0,27,52
4,1,488,Downtown Station via County Office Building South,0,27,52
4,1,489,Downtown Station via County Office Building South,0,27,52
4,1,490,Downtown Station via County Office Building South,0,27,52
4,1,491,Downtown Station via County Office Building South,0,27,52
4,1,492,Downtown Station via County Office Building South,0,27,52
4,1,493,Downtown Station via County Office Building South,0,27,52
4,1,494,Downtown Station via County Office Building South,0,27,52
4,1,495,Downtown Station via County Office Building South,0,27,52
5,1,288,Belmont & Downtown Station via Altavista Ave,0,57,227
5,1,289,Belmont & Downtown Station via Altavista Ave,0,57,227
5,1,290,Belmont & Downtown Station via Altavista Ave,0,57,227
5,1,291,Belmont & Downtown Station via Altavista Ave,0,57,227
5,1,292,Belmont & Downtown Station via Altavista Ave,0,57,227
5,1,293,Belmont & Downtown Station via Altavista Ave,0,57,227
5,1,294,Belmont & Downtown Station via Altavista Ave,0,57,227
5,1,295,Belmont & Downtown Station via Altavista Ave,0,57,227
5,1,296,Belmont & Downtown Station via Altavista Ave,0,57,227
5,1,297,Belmont & Downtown Station via Altavista Ave,0,57,227
5,1,298,Belmont & Downtown Station via Altavista Ave,0,57,227
5,1,299,Belmont & Downtown Station via Altavista Ave,0,57,227
5,1,377,Belmont & Downtown Station via Altavista Ave,0,57,227
5,4,300,Belmont & Downtown Station via Altavista Ave,0,58,227
5,4,301,Belmont & Downtown Station via Altavista Ave,0,58,227
5,4,302,Belmont & Downtown Station via Altavista Ave,0,58,227
5,4,303,Belmont & Downtown Station via Altavista Ave,0,59,227
5,4,304,Belmont & Downtown Station via Altavista Ave,0,59,227
5,4,305,Belmont & Downtown Station via Altavista Ave,0,59,227
5,4,306,Belmont & Downtown Station via Altavista Ave,0,59,227
6,1,397,Cherry Ave/Fry's Spring,0,28,288
6,1,398,Cherry Ave/Fry's Spring,0,28,288
6,1,399,Cherry Ave/Fry's Spring,0,28,288
6,1,400,Cherry Ave/Fry's Spring,0,28,288
6,1,401,Cherry Ave/Fry's Spring,0,28,288
6,1,402,Cherry Ave/Fry's Spring,0,28,288
6,1,403,Cherry Ave/Fry's Spring,0,28,288
6,1,404,Cherry Ave/Fry's Spring,0,28,288
6,1,405,Cherry Ave/Fry's Spring,0,28,288
6,1,406,Cherry Ave/Fry's Spring,0,28,288
6,1,407,Cherry Ave/Fry's Spring,0,28,288
6,1,408,Cherry Ave/Fry's Spring,0,28,288
6,4,409,Cherry Ave/Fry's Spring,0,29,288
6,4,410,Cherry Ave/Fry's Spring,0,29,288
6,4,412,Cherry Ave/Fry's Spring,0,30,288
6,4,413,Cherry Ave/Fry's Spring,0,30,288
6,4,414,Cherry Ave/Fry's Spring,0,30,288
7,4,411,UVA Hospital,0,29,289
7,4,415,UVA Hospital,0,30,289
8,4,286,Downtown Station,0,29,264
8,4,287,Downtown Station,0,30,264
9,1,416,Walmart via Fashion Square Mall,0,32,55
9,1,417,Walmart via Fashion Square Mall,0,33,55
9,1,418,Barracks Rd Mall via Fashion Square Mall,1,32,54
