shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence
1,-78.493810,38.041880,1
1,-78.492140,38.041800,2
1,-78.492120,38.041760,3
1,-78.492099,38.041620,4
1,-78.492110,38.041470,5
1,-78.492130,38.040780,6
1,-78.492099,38.040460,7
1,-78.492080,38.040360,8
1,-78.491820,38.039910,9
1,-78.491260,38.039240,10
1,-78.491280,38.039120,11
1,-78.491300,38.039040,12
1,-78.491640,38.038560,13
1,-78.491919,38.038610,14
1,-78.492570,38.038820,15
1,-78.493380,38.039110,16
1,-78.494280,38.039420,17
1,-78.495250,38.039770,18
1,-78.496200,38.040150,19
1,-78.496770,38.039210,20
1,-78.497610,38.037770,21
1,-78.497870,38.037280,22
1,-78.497890,38.037240,23
1,-78.498480,38.036090,24
1,-78.498670,38.035710,25
1,-78.499200,38.034750,26
1,-78.499540,38.033990,27
1,-78.498890,38.033660,28
1,-78.498320,38.033420,29
1,-78.497730,38.033250,30
1,-78.498840,38.032910,31
1,-78.499760,38.032680,32
1,-78.501780,38.032100,33
1,-78.502710,38.032070,34
1,-78.503640,38.032030,35
1,-78.504600,38.032030,36
1,-78.505910,38.032070,37
1,-78.506390,38.032100,38
1,-78.506790,38.032120,39
1,-78.507400,38.032090,40
1,-78.507490,38.032070,41
1,-78.507580,38.032020,42
1,-78.507820,38.031770,43
1,-78.507920,38.031610,44
1,-78.508070,38.031360,45
1,-78.508380,38.030850,46
1,-78.509340,38.029350,47
1,-78.509680,38.028870,48
1,-78.510060,38.028520,49
1,-78.510670,38.028140,50
1,-78.511350,38.027730,51
1,-78.512440,38.027060,52
1,-78.512900,38.026760,53
1,-78.513400,38.026450,54
1,-78.513949,38.026280,55
1,-78.514950,38.025960,56
1,-78.514980,38.025890,57
1,-78.516420,38.025910,58
1,-78.517990,38.025920,59
1,-78.518700,38.025930,60
1,-78.519520,38.025990,61
1,-78.519990,38.026050,62
1,-78.520690,38.026120,63
1,-78.521060,38.027020,64
1,-78.520520,38.027240,65
1,-78.520230,38.027630,66
1,-78.520230,38.028080,67
1,-78.520230,38.028490,68
1,-78.520020,38.028480,69
1,-78.519660,38.028450,70
1,-78.518850,38.028480,71
1,-78.516770,38.028660,72
1,-78.516470,38.028680,73
1,-78.516430,38.029120,74
1,-78.516390,38.029260,75
1,-78.515872,38.030206,76
1,-78.515211,38.029783,77
1,-78.514703,38.029487,78
1,-78.514068,38.029565,79
1,-78.513367,38.029880,80
1,-78.511027,38.031479,81
1,-78.512110,38.032110,82
1,-78.512230,38.032140,83
1,-78.512770,38.032200,84
1,-78.513480,38.032220,85
1,-78.513620,38.032240,86
1,-78.514030,38.032340,87
1,-78.514580,38.032540,88
1,-78.514250,38.033220,89
1,-78.514160,38.033580,90
1,-78.514120,38.033950,91
1,-78.514050,38.035220,92
1,-78.513810,38.035230,93
1,-78.513700,38.035220,94
1,-78.513660,38.035210,95
1,-78.513460,38.035090,96
1,-78.512829,38.034680,97
1,-78.512460,38.034530,98
1,-78.511080,38.034030,99
1,-78.510900,38.033980,100
1,-78.510510,38.033860,101
1,-78.510150,38.033770,102
1,-78.509630,38.033730,103
1,-78.508890,38.033710,104
1,-78.508450,38.033690,105
1,-78.507960,38.033650,106
1,-78.507710,38.033670,107
1,-78.507490,38.033710,108
1,-78.507260,38.033810,109
1,-78.507000,38.033930,110
1,-78.506650,38.034090,111
1,-78.506310,38.034230,112
1,-78.505990,38.034380,113
1,-78.505840,38.034510,114
1,-78.505750,38.034600,115
1,-78.505170,38.035570,116
1,-78.504780,38.036190,117
1,-78.504570,38.036530,118
1,-78.504490,38.036630,119
1,-78.504390,38.036690,120
1,-78.504170,38.036760,121
1,-78.503890,38.036780,122
1,-78.503410,38.036750,123
1,-78.503350,38.036860,124
1,-78.502700,38.037910,125
1,-78.502140,38.038930,126
1,-78.501870,38.039450,127
1,-78.501790,38.039580,128
1,-78.501700,38.039710,129
1,-78.501230,38.040460,130
1,-78.501000,38.040830,131
1,-78.500390,38.041730,132
1,-78.499480,38.041350,133
1,-78.499350,38.041300,134
1,-78.498710,38.041040,135
1,-78.498250,38.040870,136
1,-78.497760,38.040690,137
1,-78.497200,38.040480,138
1,-78.496200,38.040150,139
1,-78.495900,38.040710,140
1,-78.495820,38.040820,141
1,-78.495710,38.040940,142
1,-78.495560,38.041050,143
1,-78.494249,38.041820,144
1,-78.494050,38.041870,145
1,-78.493810,38.041880,146
1,-78.493026,38.041830,147
4,-78.499760,38.032680,1
4,-78.501780,38.032100,2
4,-78.502710,38.032070,3
4,-78.503640,38.032030,4
4,-78.504600,38.032030,5
4,-78.505910,38.032070,6
4,-78.506390,38.032100,7
4,-78.506790,38.032120,8
4,-78.507400,38.032090,9
4,-78.507490,38.032070,10
4,-78.507580,38.032020,11
4,-78.507820,38.031770,12
4,-78.507920,38.031610,13
4,-78.508070,38.031360,14
4,-78.508380,38.030850,15
4,-78.509340,38.029350,16
4,-78.509680,38.028870,17
4,-78.510060,38.028520,18
4,-78.510670,38.028140,19
4,-78.511350,38.027730,20
4,-78.512440,38.027060,21
4,-78.512900,38.026760,22
4,-78.513400,38.026450,23
4,-78.513949,38.026280,24
4,-78.514950,38.025960,25
4,-78.514980,38.025890,26
4,-78.516420,38.025910,27
4,-78.517990,38.025920,28
4,-78.518700,38.025930,29
4,-78.519520,38.025990,30
4,-78.519990,38.026050,31
4,-78.520690,38.026120,32
4,-78.521060,38.027020,33
4,-78.520520,38.027240,34
4,-78.520230,38.027630,35
4,-78.520230,38.028080,36
4,-78.520230,38.028490,37
4,-78.520020,38.028480,38
4,-78.519660,38.028450,39
4,-78.518850,38.028480,40
4,-78.516770,38.028660,41
4,-78.516470,38.028680,42
4,-78.516430,38.029120,43
4,-78.516390,38.029260,44
4,-78.515872,38.030206,45
4,-78.515211,38.029783,46
4,-78.514703,38.029487,47
4,-78.514068,38.029565,48
4,-78.513367,38.029880,49
4,-78.511027,38.031479,50
4,-78.512110,38.032110,51
4,-78.512230,38.032140,52
4,-78.512770,38.032200,53
4,-78.513480,38.032220,54
4,-78.513620,38.032240,55
4,-78.514030,38.032340,56
4,-78.514580,38.032540,57
4,-78.514250,38.033220,58
4,-78.514160,38.033580,59
4,-78.514120,38.033950,60
4,-78.514050,38.035220,61
4,-78.513810,38.035230,62
4,-78.513700,38.035220,63
4,-78.513660,38.035210,64
4,-78.513460,38.035090,65
4,-78.512829,38.034680,66
4,-78.512460,38.034530,67
4,-78.511080,38.034030,68
4,-78.510900,38.033980,69
4,-78.510510,38.033860,70
4,-78.510150,38.033770,71
4,-78.509630,38.033730,72
4,-78.508890,38.033710,73
4,-78.508450,38.033690,74
4,-78.507960,38.033650,75
4,-78.507710,38.033670,76
4,-78.507490,38.033710,77
4,-78.507260,38.033810,78
4,-78.507000,38.033930,79
4,-78.506650,38.034090,80
4,-78.506310,38.034230,81
4,-78.505990,38.034380,82
4,-78.505840,38.034510,83
4,-78.505750,38.034600,84
4,-78.505170,38.035570,85
4,-78.504780,38.036190,86
4,-78.504570,38.036530,87
4,-78.504490,38.036630,88
4,-78.504390,38.036690,89
4,-78.504170,38.036760,90
4,-78.503890,38.036780,91
4,-78.503410,38.036750,92
4,-78.503350,38.036860,93
4,-78.502700,38.037910,94
4,-78.502140,38.038930,95
4,-78.501870,38.039450,96
4,-78.501790,38.039580,97
4,-78.501700,38.039710,98
4,-78.501230,38.040460,99
4,-78.501000,38.040830,100
4,-78.500390,38.041730,101
4,-78.499480,38.041350,102
4,-78.499350,38.041300,103
4,-78.498710,38.041040,104
4,-78.498250,38.040870,105
4,-78.497760,38.040690,106
4,-78.497200,38.040480,107
4,-78.496200,38.040150,108
4,-78.495900,38.040710,109
4,-78.495820,38.040820,110
4,-78.495710,38.040940,111
4,-78.495560,38.041050,112
4,-78.494249,38.041820,113
4,-78.494050,38.041870,114
4,-78.493810,38.041880,115
4,-78.493026,38.041830,116
8,-78.493810,38.041880,1
8,-78.492140,38.041800,2
8,-78.492120,38.041760,3
8,-78.492099,38.041620,4
8,-78.492110,38.041470,5
8,-78.492130,38.040780,6
8,-78.492099,38.040460,7
8,-78.492080,38.040360,8
8,-78.491820,38.039910,9
8,-78.491260,38.039240,10
8,-78.491280,38.039120,11
8,-78.491300,38.039040,12
8,-78.491640,38.038560,13
8,-78.491919,38.038610,14
8,-78.492570,38.038820,15
8,-78.493380,38.039110,16
8,-78.494280,38.039420,17
8,-78.495250,38.039770,18
8,-78.496200,38.040150,19
8,-78.496770,38.039210,20
8,-78.497610,38.037770,21
8,-78.497870,38.037280,22
8,-78.497890,38.037240,23
8,-78.498480,38.036090,24
8,-78.498670,38.035710,25
8,-78.499200,38.034750,26
8,-78.499540,38.033990,27
8,-78.498890,38.033660,28
8,-78.498320,38.033420,29
8,-78.497730,38.033250,30
8,-78.498840,38.032910,31
8,-78.499760,38.032680,32
8,-78.501780,38.032100,33
8,-78.502710,38.032070,34
8,-78.503640,38.032030,35
8,-78.504600,38.032030,36
8,-78.505910,38.032070,37
8,-78.506390,38.032100,38
8,-78.506790,38.032120,39
8,-78.507400,38.032090,40
8,-78.507490,38.032070,41
8,-78.507580,38.032020,42
8,-78.507820,38.031770,43
8,-78.507920,38.031610,44
8,-78.508070,38.031360,45
8,-78.508380,38.030850,46
8,-78.509340,38.029350,47
8,-78.509680,38.028870,48
8,-78.510060,38.028520,49
8,-78.510670,38.028140,50
8,-78.511350,38.027730,51
8,-78.512440,38.027060,52
8,-78.512900,38.026760,53
8,-78.513400,38.026450,54
8,-78.513949,38.026280,55
8,-78.514950,38.025960,56
8,-78.514980,38.025890,57
8,-78.516420,38.025910,58
8,-78.517990,38.025920,59
8,-78.518700,38.025930,60
8,-78.519520,38.025990,61
8,-78.519990,38.026050,62
8,-78.520690,38.026120,63
8,-78.521060,38.027020,64
8,-78.520520,38.027240,65
8,-78.520230,38.027630,66
8,-78.520230,38.028080,67
8,-78.520230,38.028490,68
8,-78.520020,38.028480,69
8,-78.519660,38.028450,70
8,-78.518850,38.028480,71
8,-78.516770,38.028660,72
8,-78.516470,38.028680,73
8,-78.516430,38.029120,74
8,-78.516390,38.029260,75
8,-78.515872,38.030206,76
8,-78.515211,38.029783,77
8,-78.514703,38.029487,78
8,-78.514068,38.029565,79
8,-78.513367,38.029880,80
8,-78.511027,38.031479,81
8,-78.512110,38.032110,82
8,-78.512230,38.032140,83
8,-78.512770,38.032200,84
8,-78.513480,38.032220,85
8,-78.513620,38.032240,86
8,-78.514030,38.032340,87
8,-78.514580,38.032540,88
8,-78.514250,38.033220,89
8,-78.514160,38.033580,90
8,-78.514120,38.033950,91
8,-78.514050,38.035220,92
8,-78.513810,38.035230,93
