trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign
1,08:40:00,08:40:00,278,1,University Loop via UVA Hospital
1,,,275,2,
1,,,448,3,
1,,,415,4,
1,,,281,5,
1,,,64,6,
1,08:50:00,08:50:00,410,7,University Loop via Stadium
1,,,65,8,University Loop via Stadium
1,,,377,9,University Loop via Stadium
1,,,33,10,University Loop via Stadium
1,,,31,11,University Loop via Stadium
1,,,27,12,University Loop via Stadium
1,,,43,13,University Loop via Stadium
1,,,40,14,University Loop via Stadium
1,,,37,15,University Loop via Stadium
1,09:00:00,09:00:00,46,16,University Loop via UVA Chapel
1,,,422,17,University Loop via UVA Chapel
1,,,35,18,University Loop via UVA Chapel
1,,,47,19,University Loop via UVA Chapel
1,,,52,20,University Loop via UVA Chapel
1,,,412,21,University Loop via UVA Chapel
1,09:10:00,09:10:00,57,22,University Loop
1,,,284,23,University Loop
1,,,286,24,University Loop
1,,,288,25,University Loop
1,09:20:00,09:20:00,278,26,University Loop
2,17:30:00,17:30:00,278,1,University Loop via UVA Hospital
2,,,275,2,
2,,,448,3,
2,,,415,4,
2,,,281,5,
2,,,64,6,
2,17:40:00,17:40:00,410,7,University Loop via Stadium
2,,,65,8,University Loop via Stadium
2,,,377,9,University Loop via Stadium
2,,,33,10,University Loop via Stadium
2,,,31,11,University Loop via Stadium
2,,,27,12,University Loop via Stadium
2,,,43,13,University Loop via Stadium
2,,,40,14,University Loop via Stadium
2,,,37,15,University Loop via Stadium
2,17:50:00,17:50:00,46,16,University Loop via UVA Chapel
2,,,422,17,University Loop via UVA Chapel
2,,,35,18,University Loop via UVA Chapel
2,,,47,19,University Loop via UVA Chapel
2,,,52,20,University Loop via UVA Chapel
2,,,412,21,University Loop via UVA Chapel
2,18:00:00,18:00:00,57,22,University Loop
2,,,284,23,University Loop
2,,,286,24,University Loop
2,,,288,25,University Loop
2,18:10:00,18:10:00,278,26,University Loop
3,21:07:00,21:07:00,278,1,University Loop via Alderman Library
3,,,277,2,
3,,,275,3,
3,,,445,4,
3,,,448,5,
3,,,415,6,
3,,,287,7,
3,,,450,8,
3,21:15:00,21:15:00,56,9,University Loop via Stadium
3,,,55,10,University Loop via Stadium
3,,,490,11,University Loop via Stadium
3,,,453,12,University Loop via Stadium
3,,,51,13,University Loop via Stadium
3,,,48,14,University Loop via Stadium
3,,,36,15,University Loop via Stadium
3,,,423,16,University Loop via Stadium
3,21:22:00,21:22:00,45,17,University Loop via UVA Hospital
3,,,38,18,University Loop via UVA Hospital
3,,,28,19,University Loop via UVA Hospital
3,,,30,20,University Loop via UVA Hospital
3,,,32,21,University Loop via UVA Hospital
3,,,454,22,University Loop via UVA Hospital
3,,,66,23,University Loop via UVA Hospital
3,21:30:00,21:30:00,67,24,University Loop
3,,,63,25,University Loop
3,,,280,26,University Loop
3,,,288,27,University Loop
3,21:37:00,21:37:00,278,28,University Loop
4,13:40:00,13:40:00,278,1,University Loop via Alderman Library
4,,,277,2,
4,,,275,3,
4,,,445,4,
4,,,448,5,
4,,,415,6,
4,,,287,7,
4,,,450,8,
4,13:50:00,13:50:00,56,9,University Loop via Stadium
4,,,55,10,University Loop via Stadium
4,,,51,11,University Loop via Stadium
4,,,48,12,University Loop via Stadium
4,,,36,13,University Loop via Stadium
4,,,423,14,University Loop via Stadium
4,14:00:00,14:00:00,45,15,University Loop via UVA Hospital
4,,,38,16,University Loop via UVA Hospital
4,,,28,17,University Loop via UVA Hospital
4,,,30,18,University Loop via UVA Hospital
4,,,32,19,University Loop via UVA Hospital
4,,,454,20,University Loop via UVA Hospital
4,,,66,21,University Loop via UVA Hospital
4,14:10:00,14:10:00,67,22,University Loop
4,,,63,23,University Loop
4,,,280,24,University Loop
4,,,288,25,University Loop
4,14:20:00,14:20:00,278,26,University Loop
5,18:30:00,18:30:00,278,1,University Loop via Alderman Library
5,,,277,2,
5,,,275,3,
5,,,445,4,
5,,,448,5,
5,,,415,6,
5,,,287,7,
5,,,450,8,
5,18:40:00,18:40:00,56,9,University Loop via Stadium
5,,,55,10,University Loop via Stadium
5,,,51,11,University Loop via Stadium
5,,,48,12,University Loop via Stadium
5,,,36,13,University Loop via Stadium
5,,,423,14,University Loop via Stadium
5,18:50:00,18:50:00,45,15,University Loop via UVA Hospital
5,,,38,16,University Loop via UVA Hospital
5,,,28,17,University Loop via UVA Hospital
5,,,30,18,University Loop via UVA Hospital
5,,,32,19,University Loop via UVA Hospital
5,,,454,20,University Loop via UVA Hospital
5,,,66,21,University Loop via UVA Hospital
5,19:00:00,19:00:00,67,22,University Loop
5,,,63,23,University Loop
5,,,280,24,University Loop
5,,,288,25,University Loop
5,19:10:00,19:10:00,278,26,University Loop
6,17:30:00,17:30:00,483,1,Northline via UVA Chapel
6,,,484,2,
6,,,502,3,
6,,,485,4,
6,,,52,5,
6,,,412,6,
6,17:40:00,17:40:00,57,7,Northline via U-Hall
6,,,282,8,Northline via U-Hall
6,,,498,9,Northline via U-Hall
6,,,501,10,Northline via U-Hall
6,,,425,11,Northline via U-Hall
6,,,424,12,Northline via McDonalds
6,,,443,13,Northline via McDonalds
6,,,431,14,Northline via McDonalds
6,,,462,15,Northline via McDonalds
6,,,299,16,Northline via McDonalds
6,,,297,17,Northline via McDonalds
6,,,295,18,Northline via McDonalds
6,18:00:00,18:00:00,385,19,Northline via U-Hall
6,,,296,20,Northline via U-Hall
6,,,298,21,Northline via U-Hall
6,,,462,22,Northline via U-Hall
6,,,299,23,Northline via U-Hall
6,,,461,24,Northline via U-Hall
6,,,425,25,Northline via U-Hall
6,18:10:00,18:10:00,424,26,Northline via Alderman Library
6,,,443,27,Northline via Alderman Library
6,,,292,28,Northline via Alderman Library
6,,,421,29,Northline via Alderman Library
6,,,426,30,Northline via Alderman Library
6,,,283,31,Northline via Alderman Library
6,18:20:00,18:20:00,56,32,Northline
6,,,55,33,Northline
6,,,51,34,Northline
6,,,48,35,Northline
6,,,38,36,Northline
6,,,39,37,Northline
6,18:30:00,18:30:00,483,38,Northline
7,18:30:00,18:30:00,483,1,Northline via UVA Chapel
7,,,484,2,
7,,,502,3,
7,,,485,4,
7,,,52,5,
7,,,412,6,
7,18:40:00,18:40:00,57,7,Northline via U-Hall
7,,,282,8,Northline via U-Hall
7,,,498,9,Northline via U-Hall
7,,,501,10,Northline via U-Hall
7,,,425,11,Northline via U-Hall
7,,,424,12,Northline via McDonalds
7,,,443,13,Northline via McDonalds
7,,,431,14,Northline via McDonalds
7,,,462,15,Northline via McDonalds
7,,,299,16,Northline via McDonalds
7,,,297,17,Northline via McDonalds
7,,,295,18,Northline via McDonalds
7,19:00:00,19:00:00,385,19,Northline via U-Hall
7,,,296,20,Northline via U-Hall
7,,,298,21,Northline via U-Hall
7,,,462,22,Northline via U-Hall
7,,,299,23,Northline via U-Hall
7,,,461,24,Northline via U-Hall
7,,,425,25,Northline via U-Hall
7,19:10:00,19:10:00,424,26,Northline via Alderman Library
7,,,443,27,Northline via Alderman Library
7,,,292,28,Northline via Alderman Library
7,,,421,29,Northline via Alderman Library
7,,,426,30,Northline via Alderman Library
7,,,283,31,Northline via Alderman Library
7,19:20:00,19:20:00,56,32,Northline
7,,,55,33,Northline
7,,,51,34,Northline
7,,,48,35,Northline
7,,,38,36,Northline
7,,,39,37,Northline
7,19:30:00,19:30:00,483,38,Northline
8,19:30:00,19:30:00,483,1,Northline via UVA Chapel
8,,,484,2,
8,,,502,3,
8,,,485,4,
8,,,52,5,
8,,,412,6,
8,19:40:00,19:40:00,57,7,Northline via U-Hall
8,,,282,8,Northline via U-Hall
8,,,498,9,Northline via U-Hall
8,,,501,10,Northline via U-Hall
8,,,425,11,Northline via U-Hall
8,,,424,12,Northline via McDonalds
8,,,443,13,Northline via McDonalds
8,,,431,14,Northline via McDonalds
8,,,462,15,Northline via McDonalds
8,,,299,16,Northline via McDonalds
8,,,297,17,Northline via McDonalds
8,,,295,18,Northline via McDonalds
8,20:00:00,20:00:00,385,19,Northline via U-Hall
8,,,296,20,Northline via U-Hall
8,,,298,21,Northline via U-Hall
8,,,462,22,Northline via U-Hall
8,,,299,23,Northline via U-Hall
8,,,461,24,Northline via U-Hall
8,,,425,25,Northline via U-Hall
8,20:07:00,20:07:00,424,26,Northline via Alderman Library
8,,,443,27,Northline via Alderman Library
8,,,292,28,Northline via Alderman Library
8,,,421,29,Northline via Alderman Library
8,,,426,30,Northline via Alderman Library
8,,,283,31,Northline via Alderman Library
8,20:15:00,20:15:00,56,32,Northline
8,,,55,33,Northline
8,,,51,34,Northline
8,,,48,35,Northline
