stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
27,11210,"JPA at Maury Avenue",38.026126,-78.514559,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=27
28,11688,"Jefferson Prk Ave & Observatory Ave",38.026355,-78.513288,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=28
29,11206,"JPA at Observatory Avenue",38.026523,-78.513392,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=29
30,11473,"Jefferson Prk Ave & Shamrock Rd",38.027556,-78.511319,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=30
31,11172,"JPA at Shamrock Road",38.027631,-78.511588,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=31
32,11487,"JPA & Kent Terrace",38.028642,-78.509653,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=32
33,11164,"JPA at Montebello Circle",38.028819,-78.509810,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=33
34,11140,"JPA opposite Valley Road",38.031019,-78.508358,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=34
35,11769,"Engineering School (inbound)",38.031685,-78.511328,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=35
36,11603,"Engineering School (outbound)",38.031508,-78.511248,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=36
37,10687,"Alderman Road opposite Gooch Houses",38.029072,-78.516357,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=37
38,11619,"Alderman Rd & Gooch (outbound)",38.029348,-78.516424,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=38
39,11635,"Stadium Rd & Runk",38.028602,-78.518265,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=39
40,11867,"Appletree Rd & Stadium Rd",38.028415,-78.519847,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=40
41,11657,"Stadium Rd & Mimosa Dr",38.028179,-78.520314,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=41
42,11661,"Mimosa Dr (outbound)",38.027179,-78.520824,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=42
43,11851,"Mimosa Dr (inbound)",38.027056,-78.520834,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=43
45,11880,"Scott Stadium (outbound)",38.029672,-78.514814,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=45
46,11879,"Scott Stadium (inbound)",38.029508,-78.514973,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=46
47,11234,"Alderman Road at Whitehead Road",38.033825,-78.514094,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=47
48,11592,"Alderman Rd & Tuttle",38.033980,-78.514261,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=48
50,11931,"McCormick Road at Gilmer Hall",38.034809,-78.513184,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=50
51,11795,"McCormick Rd Dorms",38.034400,-78.511814,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=51
52,11782,"McCormick Road at Chemistry Building",38.034176,-78.511684,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=52
53,11898,"McCormick Road at Thornton Hall",38.033683,-78.509262,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=53
54,11920,"McCormick Road at Clark Hall",38.033732,-78.507379,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=54
55,11814,"Commerce School",38.034327,-78.506245,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=55
56,11912,"Alderman Library",38.035512,-78.505339,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=56
57,11908,"McCormick Road at UVA Chapel",38.036177,-78.504695,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=57
63,11711,"14th Street NW at Wertland (northbound)",38.034540,-78.499283,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=63
64,11724,"14th Street NW at Wertland (southbound)",38.034571,-78.499377,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=64
65,11155,"JPA at Cabell Hall",38.032110,-78.505489,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=65
66,11690,"JPA & Brandon Ave",38.031987,-78.503272,http://avlweb.charlottesville.org/RTT/Public/RoutePositionET.aspx?PlatformTag=66
